filters	page_title	page_id	page_namespace
"Geotags (52.4126,12.8203)
Page Hits (count: 3542)"	Otto Lilienthal	47812	0
"Geotags (52.5042,13.3533)
Page Hits (count: 3425)"	Stiftung Warentest	95376	0
"Geotags (48.7171,9.36747)
Page Hits (count: 2757)"	Liste deutscher Kraftwerke	2922812	0
"Geotags (52.5087,13.3841)
Page Hits (count: 2460)"	Bundesministerium der Finanzen	28992	0
"Geotags (52.5017,13.3411)
Page Hits (count: 2307)"	Kaufhaus des Westens	239758	0
"Geotags (52.5018,13.3758)
Page Hits (count: 1936)"	Bombardier Transportation	295034	0
"Geotags (52.5295,13.3737)
Page Hits (count: 1774)"	Bundesministerium für Wirtschaft und Energie	997002	0
"Geotags (52.5131,13.3831)
Page Hits (count: 1747)"	Bundesministerium für Arbeit und Soziales	997024	0
"Geotags (48.0306,7.58627)
Page Hits (count: 1618)"	Helios Kliniken	385832	0
"Geotags (52.4853,13.3378)
Page Hits (count: 1514)"	Hochschule für Wirtschaft und Recht Berlin	829364	0
"Geotags (52.51,13.3736)
Page Hits (count: 1203)"	Sony Center	366826	0
"Geotags (52.5208,13.4137)
Page Hits (count: 1144)"	Landesbank Berlin	1555129	0
"Geotags (52.509,13.3299)
Page Hits (count: 924)"	Norisbank	1154867	0
"Geotags (52.5158,13.3869)
Page Hits (count: 856)"	Komische Oper Berlin	105798	0
"Geotags (52.5122,13.3887)
Page Hits (count: 793)"	Deutsches Institut für Wirtschaftsforschung	1797723	0
"Geotags (52.515,13.3794)
Page Hits (count: 685)"	Akademie der Künste (Berlin)	22711	0
"Geotags (52.5122,13.3887)
Page Hits (count: 681)"	Sozio-oekonomisches Panel	430119	0
"Geotags (52.5046,13.3782)
Page Hits (count: 556)"	Deutsche Landwirtschafts-Gesellschaft	524124	0
"Geotags (52.5144,13.3872)
Page Hits (count: 531)"	Schuldenuhr	727004	0
"Geotags (52.5282,13.3245)
Page Hits (count: 498)"	AEG-Turbinenfabrik	796761	0
"Geotags (52.5081,13.3291)
Page Hits (count: 431)"	Berliner Bank	1578298	0
"Geotags (52.5156,13.4011)
Page Hits (count: 419)"	European School of Management and Technology	641228	0
"Geotags (52.504,13.3783)
Page Hits (count: 390)"	Reichsnährstand	266835	0
"Geotags (52.5224,13.378)
Page Hits (count: 351)"	Dapd Nachrichtenagentur	6009810	0
"Geotags (52.5058,13.3728)
Page Hits (count: 311)"	Debis-Haus	419490	0
"Geotags (52.5464,13.4328)
Page Hits (count: 306)"	Wohnstadt Carl Legien	1754127	0
"Geotags (52.5097,13.3869)
Page Hits (count: 283)"	Museum für Kommunikation Berlin	4468634	0
"Geotags (52.5153,13.3811)
Page Hits (count: 278)"	Reichsministerium für Ernährung und Landwirtschaft	340613	0
"Geotags (52.5067,13.3283)
Page Hits (count: 255)"	Börse Berlin	1329291	0
"Geotags (52.5087,13.3967)
Page Hits (count: 230)"	Mossehaus	6470238	0
"Geotags (52.524,13.3281)
Page Hits (count: 226)"	Gesellschaft zur Verfolgung von Urheberrechtsverletzungen	291460	0
"Geotags (52.5161,13.3886)
Page Hits (count: 190)"	Westin Grand Berlin	5801101	0
"Geotags (52.5236,13.4153)
Page Hits (count: 146)"	Haus der Elektroindustrie	495126	0
"Geotags (52.5153,13.4119)
Page Hits (count: 142)"	Niederländische Botschaft Berlin	1642840	0
"Geotags (52.5258,13.3795)
Page Hits (count: 137)"	Deutsche Gesellschaft der Plastischen, Rekonstruktiven und Ästhetischen Chirurgen	6279737	0
"Geotags (52.5088,13.375)
Page Hits (count: 121)"	Vox-Haus	19062	0
"Geotags (52.515,13.3854)
Page Hits (count: 96)"	Gebäudekomplex der Deutschen Bank	6489126	0
"Geotags (52.5164,13.4069)
Page Hits (count: 85)"	Knoblauchhaus	3677998	0
"Geotags (52.5197,13.4006)
Page Hits (count: 84)"	Alte Börse (Lustgarten)	6775725	0
"Geotags (52.5439,13.3914)
Page Hits (count: 78)"	Beamtentor	1120505	0
"Geotags (52.5122,13.3887)
Page Hits (count: 73)"	Rat für Sozial- und Wirtschaftsdaten	1635457	0
"Geotags (52.512,13.3908)
Page Hits (count: 71)"	Deutscher Handwerkskammertag	486825	0
"Geotags (52.5161,13.3989)
Page Hits (count: 69)"	Alter Packhof (Berlin)	6451870	0
"Geotags (52.521,13.4029)
Page Hits (count: 59)"	Handelshochschule Berlin	995779	0
"Geotags (52.52,13.4)
Page Hits (count: 57)"	Neues Lusthaus Berlin	6407841	0
"Geotags (52.5392,13.3672)
Page Hits (count: 49)"	Oberschlesische Kokswerke und Chemische Fabriken	6085790	0
"Geotags (52.5256,13.4011)
Page Hits (count: 44)"	Handwerkervereinshaus	5719039	0
"Geotags (52.5151,13.397)
Page Hits (count: 41)"	Spectaris	4293216	0
"Geotags (52.4925,13.3882)
Page Hits (count: 28)"	Forschungs- und Dokumentationszentrum Chile-Lateinamerika	2251873	0
"Geotags (52.5437,13.363)
Page Hits (count: 26)"	August Bebel Institut	7655732	0
"Geotags (52.5061,13.4203)
Page Hits (count: 23)"	Haus des Deutschen Verkehrsbunds	6937854	0
"Geotags (52.5344,13.3586)
Page Hits (count: 20)"	Individual Network Berlin	5151021	0
"Geotags (52.5061,13.3542)
Page Hits (count: ?)"	Bauhaus-Archiv	8209	0
"Geotags (52.5168,13.391)
Page Hits (count: ?)"	Deutsche Guggenheim	5382372	0
