filters	page_title	page_id	page_namespace
"Geotags (53.1375,8.21639)
Page Hits (count: 111)"	Niedersächsisches Landesmuseum für Kunst und Kulturgeschichte	1506872	0
"Geotags (53.1444,8.21472)
Page Hits (count: 92)"	Horst-Janssen-Museum	870808	0
"Geotags (53.1469,8.215)
Page Hits (count: 77)"	Landesbibliothek Oldenburg	260235	0
"Geotags (53.1337,8.21949)
Page Hits (count: 64)"	Landesmuseum für Natur und Mensch	2871655	0
"Geotags (53.1473,8.17902)
Page Hits (count: 55)"	Universitätsbibliothek Oldenburg	3912707	0
"Geotags (53.1308,8.20248)
Page Hits (count: 50)"	Helene-Lange-Schule (Oldenburg)	4372098	0
"Geotags (53.1497,8.23278)
Page Hits (count: 45)"	Bundestechnologiezentrum für Elektro- und Informationstechnik	6968220	0
"Geotags (53.1445,8.2147)
Page Hits (count: 38)"	Stadtmuseum Oldenburg	7798460	0
"Geotags (53.1489,8.2)
Page Hits (count: 31)"	Berufsakademie für IT und Wirtschaft Oldenburg	5570719	0
"Geotags (53.1467,8.1798)
Page Hits (count: 26)"	Studentenwerk Oldenburg	5673468	0
