page_title,longitude,latitude,hitcount
Duisburg-Ruhrorter Häfen,51.4525,6.76,904
Psychotherapeutisches Institut Bergerhausen,51.454,6.71578,557
Duisburger Verkehrsgesellschaft,51.4291,6.75495,292
Museum Küppersmühle für Moderne Kunst,51.4411,6.775,256
Forum Duisburg,51.4321,6.76885,190
Spielbank Duisburg,51.4337,6.77266,111
Kraftwerk Hermann Wenzel,51.4597,6.73057,107
Margarethensiedlung,51.4069,6.7225,92
TanQuid,51.4423,6.77325,82
Königsgalerie Duisburg,51.4335,6.76243,53
Fina-Raffinerie Duisburg,51.4402,6.73596,48
Schulschiff Rhein,51.4553,6.71779,42
Karl Lehr (Oberbürgermeister),51.4161,6.78143,31
Verwaltungsgebäude Krupp-Industrietechnik Duisburg,51.4011,6.72058,24
