page_title,latitude,longitude,hitcount
Liste öffentlicher Bücherschränke,50.8518,6.078,1784
Bundesministerium für Bildung und Forschung,50.7034,7.13917,1636
Bundeszentrale für politische Bildung,50.7277,7.10929,1458
Deutsche Forschungsgemeinschaft,50.6994,7.14777,1301
Friedrich-Ebert-Stiftung,50.7022,7.13484,1259
Bundesinstitut für Arzneimittel und Medizinprodukte,50.706,7.1367,1041
Liste der kreisfreien Städte in Deutschland,49.35,8.15,612
Deutscher Akademischer Austauschdienst,50.7002,7.14862,567
Museum Koenig,50.7221,7.1135,484
Institut zur Zukunft der Arbeit,50.7301,7.10936,301
Forschungszentrum caesar,50.704,7.15108,161
Arithmeum,50.7306,7.10492,140
Collegium Albertinum (Konvikt),50.7324,7.10815,117
Max-Planck-Institut für Mathematik,50.7347,7.09861,110
Universitäts- und Landesbibliothek Bonn,50.7268,7.08663,99
Friedrich-Ebert-Gymnasium Bonn,50.7091,7.12524,96
Deutsche Gesellschaft für Regulatory Affairs,50.7228,7.11204,92
Bibliothek der Friedrich-Ebert-Stiftung Bonn,50.7021,7.13483,87
Elisabeth-Selbert-Gesamtschule,50.6954,7.14775,83
Max-Planck-Institut zur Erforschung von Gemeinschaftsgütern,50.717,7.1265,77
Archiv der sozialen Demokratie,50.7025,7.1348,75
Ludwig-Erhard-Berufskolleg,50.7441,7.0859,65
Volkssternwarte Bonn,50.7276,7.09818,61
Mineralogisches Museum der Universität Bonn,50.725,7.09209,60
Martin Bucer Seminar,50.7365,7.10064,49
Wissenschaftszentrum Bonn,50.6995,7.14987,46
Arbeitnehmer-Zentrum Königswinter,50.6859,7.18292,40
Schänzchen (Bonn),50.7428,7.10494,35
Verein von Altertumsfreunden im Rheinlande,50.732,7.09262,33
Adolf-Clarenbach-Haus,50.7245,7.10063,19
Biohistoricum,50.7221,7.1135,18
Deutsche Zentralbibliothek der Landbauwissenschaften,50.7269,7.08665,14
